0 -1.002 45
235 -0.813 2
142 -0.616 2
306 -0.48 2
353 -0.29 2
161 -0.286 2
387 -0.27 2
86 -0.269 2
182 -0.236 2
294 -0.233 2
369 -0.217 2
347 -0.206 2
107 -0.196 2
273 -0.195 2
108 -0.191 2
298 -0.187 2
252 -0.168 2
198 -0.143 2
392 -0.14 2
304 -0.122 2
249 -0.115 2
167 -0.115 2
286 -0.108 2
124 -0.098 2
65 -0.097 2
101 -0.097 2
125 -0.097 2
350 -0.095 2
317 -0.094 2
109 -0.094 2
59 -0.089 2
140 -0.087 2
305 -0.085 2
103 -0.084 2
38 -0.075 2
266 -0.074 2
294 -0.069 2
188 -0.065 2
85 -0.056 2
103 -0.049 2
296 -0.049 2
229 -0.038 2
238 -0.037 2
116 -0.019 2
160 -0.017 2
108 -0.012 2
105 -0.011 2
236 -0.01 2
281 -0.008 2
309 -0.007 2
206 -0.005 2
305   0 2
324 0.005 2
268 0.012 2
127 0.026 2
371 0.034 2
279 0.04 2
235 0.045 2
41 0.049 2
181 0.054 2
168 0.06 2
89 0.062 2
226 0.071 2
149 0.072 2
296 0.077 2
190 0.079 2
254 0.095 2
117 0.096 2
19 0.104 2
3 0.105 2
348 0.112 2
298 0.116 2
73 0.117 2
365 0.118 2
85 0.123 2
55 0.124 2
384 0.156 2
197 0.163 2
0 0.163 2
341 0.196 2
146 0.199 2
120 0.216 2
241 0.246 2
276 0.257 2
142 0.257 2
12 0.258 1
13 0.258 1
139 0.258 2
353 0.267 2
247 0.27 2
325 0.276 2
27 0.302 2
199 0.307 2
11 0.312 2
89 0.313 2
358 0.314 2
37 0.326 2
169 0.338 2
270 0.348 2
196 0.365 2
163 0.387 2
126 0.414 2
52 0.433 2
52 0.435 2
196 0.46 2
154 0.461 2
285 0.468 2
180 0.471 2
147 0.478 2
365 0.483 2
136 0.491 2
165 0.492 2
171 0.496 2
206 0.513 2
360 0.525 2
341 0.529 2
255 0.553 2
148 0.595 2
242 0.6 2
125 0.613 2
383 0.629 2
281 0.644 2
279 0.653 2
312 0.654 2
114 0.661 2
244 0.671 2
238 0.677 2
255 0.678 2
193 0.686 2
292 0.755 2
198 0.761 2
135 0.765 2
234 0.775 2
201 0.784 2
316 0.799 2
24 0.829 2
314 0.837 2
347 0.84 2
117 0.857 2
209 0.857 2
42 0.863 2
95 0.869 2
117 0.872 2
2 0.877 2
171 0.878 2
184 0.893 2
367   1 1
19   1 1
27   1 1
28   1 1
54   1 1
66   1 2
78   1 1
87   1 2
143   1 1
220   1 2
239   1 1
273   1 1
296   1 1
298   1 1
299   1 2
