0 -nan 3
0 1000.000183 0
0 346.0945435 11
0 254.7619629 13
0 214.2655334 5
0 11.12252903 17
0 -6.055456638 12
0 -20.34205627 14
0 -nan 18
0 -87.4508667 15
0 -191.7107086 16
0 -nan 6
0 -nan 9
0 -nan 8
0 116.6369324 1
0 -49.96085739 7
0 -75.04653168 2
0 -195.3343201 4
0 -nan 10
1 1000.000061 1
1 430.7562256 11
1 362.8148193 3
1 161.3003998 15
1 121.7887802 13
1 116.6369324 0
1 60.7807045 8
1 52.98616409 14
1 24.68346214 2
1 4.131203651 4
1 -7.979916096 7
1 -13.50402546 17
1 -18.24170113 6
1 -38.09239578 10
1 -70.16698456 12
1 -94.5670166 9
1 -97.73719788 5
1 -140.965271 18
1 -187.3673096 16
2 1000.000061 2
2 273.8157043 4
2 255.4062042 8
2 154.7155609 16
2 102.7545929 15
2 94.8404541 5
2 58.97358322 10
2 47.53060532 17
2 39.2036438 6
2 24.68347168 1
2 -11.02856731 9
2 -66.38635254 7
2 -75.04652405 0
2 -nan 11
2 -89.67905426 18
2 -95.12129974 13
2 -98.53461456 3
2 -217.1693115 14
2 -233.5482635 12
3 1000.000244 3
3 873.6115723 16
3 859.6815796 13
3 -nan 14
3 -nan 15
3 795.9277954 6
3 682.2796631 5
3 673.0864868 8
3 649.3669434 7
3 591.6518555 10
3 549.8168335 18
3 -nan 0
3 -nan 11
3 432.0054626 9
3 362.8148193 1
3 335.3400879 17
3 -84.55634308 12
3 -98.53462982 2
3 -196.8288422 4
4 1000.000122 4
4 273.8157043 2
4 110.5129318 16
4 93.27919006 8
4 78.08131409 9
4 69.0528717 5
4 4.131202698 1
4 -0.9223185778 7
4 -8.91292572 6
4 -57.48473358 14
4 -75.69607544 18
4 -86.12819672 13
4 -97.63305664 12
4 -109.1537323 10
4 -115.4241486 15
4 -123.2351837 17
4 -195.3342896 0
4 -196.8288574 3
4 -nan 11
5 1000 5
5 825.4823608 16
5 780.7359009 13
5 682.2796631 3
5 658.0622559 6
5 650.5002441 18
5 597.182312 8
5 489.7220764 9
5 458.6100159 10
5 384.2978516 7
5 267.2153015 17
5 214.2655334 0
5 94.84044647 2
5 75.21722412 12
